Code,Prüfung,Studiengang,Sem.,PO,Prüfwoche,Prüfdatum,Tag,Beginn,Dauer,Prüfer,Prüfungsform,Zweitprüfer,Bemerkung
4019,Entscheiden und Führen,Bachelor WIE,WMB,2013,5,26.02.22,Sa,,,Habermann,BP-HA,Lang,T.n.V.
3445,FPGA-Programmierung,Bachelor WIE,WMB,2013,2,02.02.22,Mi,11:00,1:00,Rieß,KL,Scheubel,
4044,Digitalisierung in der Industrie,Bachelor WIE,WMB,2013,1,28.01.22,Fr,09:00,1:30,Jovanovic,KL,Lang,
4028,Technologiemanagement,Bachelor WIE,WMB,2013,1,28.01.22,Fr,14:00,1:30,Jovanovic,KL,Lang,
4040,Start-Up-Gründung und Unternehmenskauf,Bachelor WIE,WMB,2013,5,26.02.22,Sa,,,Kaßmann,BP-HA + BP-V,Lang,T.n.V. / Dauer: 20-40 Min
3450,Numerische Mathematik mit Matlab,Bachelor WIE,WMB,2013,1,28.01.22,Fr,09:00,1:30,Kerkhoff,KL,Meier HG,
4036,Pädagogisches Projekt,Bachelor WIE,WMB,2013,5,26.02.22,Sa,,,Lux,BP-PB + BP-V,Frese,T.n.V. / Dauer: 20-40 Min
3447,Grundlagen der Relativitätstheorie und Quantenmechanik,Bachelor WIE,WMB,2013,5,26.02.22,Sa,,,Prochotta,M,Braun A.,T.n.V. / Dauer: 20-40 Min
4013,Vorbereitung auf den TOEFL Test,Bachelor WIE,WMB,2013,1,26.01.22,Mi,15:00,3:00,Meier S.,KL,Zupfer,
4042,Wie man erfolgreich Geschäfte in Italien macht,Bachelor WIE,WMB,2013,5,26.02.22,Sa,,,Rossi,BP-V,,T.n.V. / Dauer: 20-40 Min
3403,Lasertechnologie,Bachelor WIE,WMB,2013,1,29.01.22,Sa,13:30,1:30,Scheubel,KL,Rieß,
3432,Mikrocontrollerprogrammierung mit Arduino,Bachelor WIE,WMB,2013,3,08.02.22,Di,,,Mandorf,BP-PB + BP-V,Mondwurf,T.n.V. / Dauer: 20-40 Min
3442,Photonik,Bachelor WIE,WMB,2013,1,28.01.22,Fr,14:00,2:00,Braun A.,KL,Prochotta,
3449,Entwicklung und Auslegung von Teilsystemen eines Formula Student Autos (e-Traxx),Bachelor WIE,WMB,2013,5,26.02.22,Sa,,,Wrede,BP-PB + BP-V,Gottkehaskamp,T.n.V. / Dauer: 20-40 Min
4041,Software-Engineering-Projekt,Bachelor WIE,WMB,2013,5,26.02.22,Sa,,,Lux,BP-PB + BP-V,Frese,T.n.V. / Dauer: 20-40 Min
6063,Autonomes Fahren,Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Braun A.,BP-PB,Prochotta,T.n.V.
6023,C# - Programmierung und Künstliche Intelligenz,Bachelor EI,WMB,2016,3,12.02.22,Sa,11:00,1:00,Braun G.,KL,Pogatzki,
6055,Elektrokonstruktion Rechnergestützte Schaltplanerstellung mit EPLAN,Bachelor EI,WMB,2016,3,12.02.22,Sa,10:00,1:30,Celik,KL,Beck,
6052,Photovoltaik,Bachelor EI,WMB,2016,5,25.02.22,Fr,10:30,2:00,Fülber,KL,Wrede,
6512,IT-Datenschutz,Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Frese,BP-HA,Pogatzki,T.n.V.
6028,FPGA-Programmierung,Bachelor EI,WMB,2016,2,02.02.22,Mi,11:00,1:00,Rieß,KL,Scheubel,
6517,Teamarbeit im Projekt,Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Rieß,BP-PB + BP-V,Scheubel,T.n.V. / Dauer: 20-40 Min
6053,Wahrscheinlichkeitsrechnung und Stochatik,Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Meier H.-G.,M,Kerkhoff,T.n.V. / Dauer: 20-40 Min
6060,MATLAB in der Elektrotechnik,Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Braun A.,BP-PB,Meier H.-G.,T.n.V.
6065,Numerische Mathematik mit Matlab,Bachelor EI,WMB,2016,1,28.01.22,Fr,09:00,1:30,Kerkhoff,KL,Meier HG,
6524,Pädagogisches Projekt,Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Lux,BP-PB + BP-V,Frese,T.n.V. / Dauer: 20-40 Min
6062,Grundlagen der Relativitätstheorie und Quantenmechanik,Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Prochotta,M,Braun A.,T.n.V. / Dauer: 20-40 Min
6508,Vorbereitung auf den TOEFL Test,Bachelor EI,WMB,2016,1,26.01.22,Mi,15:00,3:00,Meier S.,KL,Zupfer,
6532,Wie man erfolgreich Geschäfte in Italien macht,Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Rossi,BP-V,,T.n.V. / Dauer: 20-40 Min
6011,Lasertechnologie,Bachelor EI,WMB,2016,1,29.01.22,Sa,13:30,1:30,Scheubel,KL,Rieß,
6037,Mikrocontrollerprogrammierung mit Arduino,Bachelor EI,WMB,2016,3,08.02.22,Di,,,Mandorf,BP-PB + BP-V,Mondwurf,T.n.V. / Dauer: 20-40 Min
6031,Photonik,Bachelor EI,WMB,2016,1,28.01.22,Fr,14:00,2:00,Braun A.,KL,Prochotta,
6048,Entwicklung und Auslegung von Teilsystemen eines Formula Student Autos (e-Traxx),Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Wrede,BP-PB + BP-V,Gottkehaskamp,T.n.V. / Dauer: 20-40 Min
6515,Wissenschaftliche Texte mit Latex,Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Protogerakis,BP-HA + BP-V,Braun A.,T.n.V. / Dauer: 20-40 Min
6064,Entwurfsberechnung einer elektrischen Maschine,Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Gottkehaskamp,BP-HA + BP-V,Wrede,T.n.V. / Dauer: 20-40 Min
6044,Software-Engineering-Projekt,Bachelor EI,WMB,2016,5,26.02.22,Sa,,,Lux,BP-PB + BP-V,Frese,T.n.V. / Dauer: 20-40 Min
6063,Autonomes Fahren,Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Braun A.,BP-PB,Prochotta,T.n.V.
6023,C# - Programmierung und Künstliche Intelligenz,Bachelor EI Dual,WMB,2016,3,12.02.22,Sa,11:00,1:00,Braun G.,KL,Pogatzki,
6055,Elektrokonstruktion Rechnergestützte Schaltplanerstellung mit EPLAN,Bachelor EI Dual,WMB,2016,3,12.02.22,Sa,10:00,1:30,Celik,KL,Beck,
6052,Photovoltaik,Bachelor EI Dual,WMB,2016,5,25.02.22,Fr,10:30,2:00,Fülber,KL,Wrede,
6512,IT-Datenschutz,Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Frese,BP-HA,Pogatzki,T.n.V.
6028,FPGA-Programmierung,Bachelor EI Dual,WMB,2016,2,02.02.22,Mi,11:00,1:00,Rieß,KL,Scheubel,
6517,Teamarbeit im Projekt,Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Rieß,BP-PB + BP-V,Scheubel,T.n.V. / Dauer: 20-40 Min
6053,Wahrscheinlichkeitsrechnung und Stochatik,Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Meier H.-G.,M,Kerkhoff,T.n.V. / Dauer: 20-40 Min
6060,MATLAB in der Elektrotechnik,Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Braun A.,BP-PB,Meier H.-G.,T.n.V.
6065,Numerische Mathematik mit Matlab,Bachelor EI Dual,WMB,2016,1,28.01.22,Fr,09:00,1:30,Kerkhoff,KL,Meier HG,
6524,Pädagogisches Projekt,Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Lux,BP-PB + BP-V,Frese,T.n.V. / Dauer: 20-40 Min
6062,Grundlagen der Relativitätstheorie und Quantenmechanik,Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Prochotta,M,Braun A.,T.n.V. / Dauer: 20-40 Min
6508,Vorbereitung auf den TOEFL Test,Bachelor EI Dual,WMB,2016,1,26.01.22,Mi,15:00,3:00,Meier S.,KL,Zupfer,
6532,Wie man erfolgreich Geschäfte in Italien macht,Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Rossi,BP-V,,T.n.V. / Dauer: 20-40 Min
6011,Lasertechnologie,Bachelor EI Dual,WMB,2016,1,29.01.22,Sa,13:30,1:30,Scheubel,KL,Rieß,
6037,Mikrocontrollerprogrammierung mit Arduino,Bachelor EI Dual,WMB,2016,3,08.02.22,Di,,,Mandorf,BP-PB + BP-V,Mondwurf,T.n.V. / Dauer: 20-40 Min
6031,Photonik,Bachelor EI Dual,WMB,2016,1,28.01.22,Fr,14:00,2:00,Braun A.,KL,Prochotta,
6048,Entwicklung und Auslegung von Teilsystemen eines Formula Student Autos (e-Traxx),Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Wrede,BP-PB + BP-V,Gottkehaskamp,T.n.V. / Dauer: 20-40 Min
6515,Wissenschaftliche Texte mit Latex,Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Protogerakis,BP-HA + BP-V,Braun A.,T.n.V. / Dauer: 20-40 Min
6064,Entwurfsberechnung einer elektrischen Maschine,Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Gottkehaskamp,BP-HA + BP-V,Wrede,T.n.V. / Dauer: 20-40 Min
6044,Software-Engineering-Projekt,Bachelor EI Dual,WMB,2016,5,26.02.22,Sa,,,Lux,BP-PB + BP-V,Frese,T.n.V. / Dauer: 20-40 Min
60018,Autonomes Fahren,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Braun A.,BP-PB,Prochotta,T.n.V.
60005,FPGA-Programmierung,Bachelor WIE,WMB,2017,2,02.02.22,Mi,11:00,1:00,Rieß,KL,Scheubel,
6060,MATLAB in der Elektrotechnik,Bachelor WIE,WMB,2017,5,26.02.22,Sa,,,Braun A.,BP-PB,Meier H.-G.,T.n.V.
60008,C# - Programmierung und Künstliche Intelligenz,Bachelor WIE,WMB,2017,3,12.02.22,Sa,11:00,1:00,Braun G.,KL,Pogatzki,
60007,Elektrokonstruktion Rechnergestützte Schaltplanerstellung mit EPLAN,Bachelor WIE,WMB,2017,3,12.02.22,Sa,10:00,1:30,Celik,KL,Beck,
60006,Photovoltaik,Bachelor WIE,WMB,2017,5,25.02.22,Fr,10:30,2:00,Fülber,KL,Wrede,
